,dataset_name,target_col,reverse,alg_name,CV R2 val,CV RMSE val,CV MAE val,FCV R2 val,FCV R val,FCV RMSE val,FCV MAE val,FCV DP val,FH R2 val,FH R val,FH RMSE val,FH MAE val,FH DP val,R2 test,R test,RMSE test,MAE test,DP test,rank_R2_test,rank_RMSE_test,rank_MAE_test,rank_DP_test,rank_CV_R2_val,rank_CV_RMSE_val,rank_CV_MAE_val,rank_FCV_R2_val,rank_FCV_RMSE_val,rank_FCV_MAE_val,rank_FCV_DP_val,rank_FH_R2_val,rank_FH_RMSE_val,rank_FH_MAE_val,rank_FH_DP_val
4,steel_strength,tensile strength,False,ExtraTrees,0.8208562510770747,0.423253764215896,0.2845215362151143,-5.043485307261742,0.7898852375676985,0.8870999972747324,0.7438311711569557,0.5357142857142858,-119.63367487060836,0.26683781615062785,0.6312771019336676,0.5193686522825285,0.4642857142857143,-12.922976929344689,0.18327464131050114,0.6606674152454304,0.5993708878352774,0.3548387096774194,1.0,9.0,9.0,6.0,1.0,9.0,9.0,8.0,9.0,8.0,8.0,1.0,9.0,8.0,2.0
5,steel_strength,tensile strength,False,RandomForest,0.7910755614623995,0.4570825292412744,0.3122362109301238,-4.6158138608302774,0.776794905113045,0.9146206190835259,0.7657249821235897,0.5892857142857143,-140.63204079630796,0.26128001031579784,0.6840163994308199,0.564046014562366,0.42857142857142855,-18.574010773566155,0.3480153019633005,0.7833516224730517,0.7058615285420129,0.3225806451612903,3.0,7.0,6.0,7.0,2.0,8.0,8.0,7.0,8.0,5.0,3.0,3.0,7.0,7.0,6.0
6,steel_strength,tensile strength,False,KNeighbors,0.7567757713543755,0.4931776846590127,0.3266926352344814,-3.129563085261957,0.6849434172597614,1.0740394833733402,0.8787101790676897,0.581056466302368,-191.64266189656573,0.15013752801209773,0.7977411463972001,0.593929616013234,0.6071428571428571,-23.86257551813886,0.17475882549159885,0.8828560417052831,0.7870224323188556,0.25806451612903225,5.0,5.0,5.0,9.0,4.0,6.0,6.0,3.0,2.0,1.0,4.0,5.0,5.0,4.0,1.0
7,steel_strength,tensile strength,False,DecisionTree,0.6896425576982133,0.5570973364698371,0.3784244641882741,-1.9765227991275423,0.7037584701222728,0.9638329087543714,0.731477191764734,0.6160714285714286,-123.1975477706423,0.23048116884995076,0.6405341191211882,0.46678986204772105,0.42857142857142855,-19.74574857135356,0.3680555438353324,0.806457324815371,0.6388922267294823,0.36363636363636365,4.0,6.0,8.0,4.0,5.0,5.0,5.0,2.0,3.0,9.0,1.0,2.0,8.0,9.0,7.0
8,steel_strength,tensile strength,False,RbfSVR,0.6454205742695631,0.595465721709014,0.4235259212595951,-5.484886305049256,0.7719724947054367,0.9360863268624557,0.7957426275668542,0.5714285714285714,-228.22992215433888,0.16607290697147703,0.8702046729462877,0.7415577684433291,0.32142857142857145,-25.239697662870284,0.3322276788548646,0.9069769481852761,0.7955620758914511,0.41935483870967744,6.0,4.0,4.0,3.0,6.0,4.0,4.0,9.0,4.0,4.0,6.0,7.0,3.0,3.0,9.0
0,brgoch_superhard_training,shear_modulus,True,Ridge,0.5679979461132934,0.6572686314488975,0.47137402454404814,-36.38664852174178,0.8828726113209922,0.9399037791616529,0.7591156196558345,0.5885529157667386,-140.4900119019657,0.0038260677568615325,0.6767594112961419,0.5086705946297925,0.6077586206896551,-98.83479903939669,0.331568670480948,0.8645392172871784,0.6709067743357553,0.603112840466926,8.0,2.0,1.0,7.0,7.0,3.0,2.0,7.0,3.0,1.0,5.0,8.0,2.0,2.0,8.0
1,brgoch_superhard_training,shear_modulus,True,LinearRegression,0.561468999484575,0.6622167322828871,0.4736828955596539,-31.957013843435398,0.8791184420814429,0.9332794817273642,0.7512723543554041,0.593952483801296,-142.9754149639269,0.008650908490270944,0.6826774881395933,0.5103229791490793,0.6120689655172413,-100.73971489484555,0.3384544888934981,0.8727482419606547,0.669199470119809,0.5992217898832685,9.0,1.0,2.0,8.0,8.0,2.0,1.0,5.0,4.0,2.0,2.0,9.0,1.0,1.0,6.0
2,brgoch_superhard_training,shear_modulus,True,LinearSVR,0.5596799159295069,0.6635661866539713,0.46714281857943546,-22.463565595786726,0.8751767488206383,0.9139842187248007,0.7322392530802316,0.5907127429805615,-118.51397214955846,0.011003019955940713,0.6219862052797254,0.4634290185732895,0.5905172413793104,-79.70743723643906,0.3528932587939256,0.7773211831721686,0.6023401731641118,0.5797665369649806,7.0,3.0,3.0,9.0,9.0,1.0,3.0,3.0,5.0,4.0,3.0,7.0,3.0,3.0,9.0
3,brgoch_superhard_training,shear_modulus,True,GradientBoosting,0.7423731946736041,0.5075695078768975,0.3436015136050954,-41.4046110624001,0.8711506626411285,0.8924147612176674,0.7036046748959546,0.5890230505697476,-79.09734566036242,-0.07964506266667026,0.5091907135542424,0.3953184676762304,0.7025862068965517,-39.36676535863935,0.25405697239293895,0.5497379259837895,0.4838290327989066,0.7120622568093385,4.0,6.0,5.0,3.0,3.0,7.0,7.0,8.0,8.0,7.0,4.0,4.0,6.0,5.0,2.0
4,brgoch_superhard_training,shear_modulus,True,ExtraTrees,0.7749269560851033,0.4744186378241233,0.29785211306734977,-36.08551432594042,0.8462751787666878,0.9032536140994329,0.69892188142436,0.4557235421166307,-69.93885829395855,-0.060082237809746857,0.47919635913094866,0.3736910592749753,0.7370689655172413,-33.662879620107276,0.024373294765754398,0.5094200615398604,0.44942409366977815,0.7237354085603113,1.0,9.0,8.0,1.0,2.0,8.0,9.0,6.0,7.0,8.0,9.0,1.0,9.0,8.0,1.0
5,brgoch_superhard_training,shear_modulus,True,RandomForest,0.7881620193306316,0.4602586019504345,0.30930774548904977,-50.993947613826165,0.8600369354768548,0.9037960992125361,0.7061965812808612,0.5161987041036717,-71.32372126969538,-0.07963747136418037,0.4838511685955236,0.38701849298096724,0.7025862068965517,-37.12255865715685,0.11469005695338048,0.5342379622512894,0.4749583661825063,0.7237354085603113,3.0,7.0,6.0,2.0,1.0,9.0,8.0,9.0,6.0,5.0,7.0,2.0,8.0,6.0,3.0
6,brgoch_superhard_training,shear_modulus,True,KNeighbors,0.6975839674465872,0.5499236606597435,0.3603492570164994,-24.954388315662307,0.8148525678399097,0.955628347851545,0.7431770915883786,0.5345572354211663,-116.71543650636362,-0.09042262606615589,0.6172884074726764,0.4438114055067603,0.6422413793103449,-52.74781772727469,0.2905742246069177,0.6343429862590317,0.523434907260954,0.6614785992217899,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,6.0,6.0,4.0,4.0,5.0
7,brgoch_superhard_training,shear_modulus,True,DecisionTree,0.6134622823060556,0.6217215757024558,0.4151707951301313,-8.879875078848759,0.754091317754322,0.9439112730399778,0.7054217579561931,0.49194702109003646,-96.06263845193044,-0.09710384503852523,0.5605281896512486,0.36531754804586386,0.6120689655172413,-50.27456272608968,0.058461762743961,0.6195761721771668,0.4705142107806143,0.6147859922178989,5.0,5.0,7.0,6.0,6.0,4.0,4.0,1.0,2.0,6.0,8.0,5.0,5.0,9.0,7.0
8,brgoch_superhard_training,shear_modulus,True,RbfSVR,0.7055537034242514,0.5426290598334635,0.35663937841297116,-21.559321260364925,0.8503864092884235,0.8746499509284267,0.683372592089704,0.6051798614731512,-78.67043891884904,-0.05199105402638903,0.5078319458724199,0.37762588466898434,0.6767241379310345,-34.976075237089056,0.2670564374698243,0.518979993086078,0.43490061819692155,0.6731517509727627,2.0,8.0,9.0,4.0,4.0,6.0,6.0,2.0,9.0,9.0,1.0,3.0,7.0,7.0,4.0
0,brgoch_superhard_training,shear_modulus,False,Ridge,0.5698968433711624,0.6558225039054679,0.47066130384941657,-1.4410661808497223,0.7593001846022392,0.7519345790355093,0.6151263416958324,0.6274298056155507,-140.4900119019657,0.0038260677568615325,0.6767594112961419,0.5086705946297925,0.4482758620689655,-98.83479903939669,0.331568670480948,0.8645392172871784,0.6709067743357553,0.41245136186770426,8.0,2.0,1.0,7.0,7.0,3.0,2.0,2.0,3.0,3.0,5.0,8.0,2.0,2.0,8.0
1,brgoch_superhard_training,shear_modulus,False,LinearRegression,0.5628239598414888,0.6611928917936968,0.47526604909910586,-0.9683332983472472,0.73119174724357,0.7541286516716291,0.6081219936545348,0.6349892008639308,-142.9754149639269,0.008650908490270944,0.6826774881395933,0.5103229791490793,0.4525862068965517,-100.73971489484555,0.3384544888934981,0.8727482419606547,0.669199470119809,0.3968871595330739,9.0,1.0,2.0,9.0,8.0,2.0,1.0,1.0,2.0,5.0,4.0,9.0,1.0,1.0,7.0
2,brgoch_superhard_training,shear_modulus,False,LinearSVR,0.5573674009694742,0.6653063948516696,0.46737744375852736,-1.8713307814330409,0.8061810830656613,0.6909356546246669,0.5737514401755479,0.6490280777537797,-118.50599666615054,0.011033592527112569,0.6219654515413429,0.4635418447748243,0.45689655172413796,-79.6747035632753,0.3534268773861024,0.7771635325334635,0.6020904352032123,0.42023346303501946,7.0,3.0,3.0,6.0,9.0,1.0,3.0,3.0,6.0,8.0,3.0,7.0,3.0,3.0,6.0
3,brgoch_superhard_training,shear_modulus,False,GradientBoosting,0.7293882060258102,0.5202036081902833,0.3503062823797178,-3.839349858759154,0.8620035511549433,0.679903924497199,0.5861514255184755,0.6673866090712743,-79.45774172714755,-0.08111513840966979,0.5103349734977267,0.3960663975617106,0.5086206896551724,-39.53925782971041,0.25033227099690863,0.5509112249551755,0.4849763959089609,0.42412451361867703,4.0,6.0,5.0,5.0,3.0,7.0,7.0,6.0,8.0,7.0,1.0,4.0,6.0,5.0,2.0
4,brgoch_superhard_training,shear_modulus,False,ExtraTrees,0.7871670532378308,0.46133821298714156,0.2928019479937217,-4.381705679165455,0.8729120427224524,0.6862099832031554,0.5998672562443096,0.5075431034482759,-70.62948816969057,-0.06144729913295481,0.48152333293168254,0.3729670244372453,0.49137931034482757,-31.698275926215175,0.06153925240733204,0.49477318198282483,0.4394029903019475,0.41245136186770426,1.0,9.0,8.0,8.0,2.0,8.0,9.0,7.0,7.0,6.0,9.0,1.0,9.0,8.0,4.0
5,brgoch_superhard_training,shear_modulus,False,RandomForest,0.7905239167577163,0.45768557246463837,0.30573149000983324,-5.522219923501668,0.881031281421035,0.7035639485490551,0.6253268852365088,0.5723542116630669,-71.00463040750802,-0.08914547283842811,0.4827826176780787,0.3857390987362152,0.5086206896551724,-38.414951004785614,0.13212719777786078,0.5432180848125656,0.4825513640238691,0.45136186770428016,3.0,7.0,6.0,3.0,1.0,9.0,8.0,9.0,5.0,2.0,7.0,2.0,8.0,6.0,3.0
